Binary
File,Score,Ref key,Test key
"mrx_05_key_000000",1.000000,Key D,Key D
"mrx_05_key_000001",0.000000,Key D,Key B:minor-general
"mrx_05_key_000002",0.000000,Key D,Key E:minor-general
"mrx_05_key_000003",0.000000,Key A,Key Db:minor-general
"mrx_05_key_000004",0.000000,Key A,Key B:minor-general
"mrx_05_key_000005",0.000000,Key A,Key B:minor-general
"mrx_05_key_000006",0.000000,Key A,Key E
"mrx_05_key_000007",1.000000,Key A,Key A
"mrx_05_key_000008",0.000000,Key C,Key A:minor-general
"mrx_05_key_000009",0.000000,Key A#,Key D:minor-general
"mrx_05_key_000010",1.000000,Key C,Key C
"mrx_05_key_000011",1.000000,Key A#,Key Bb
"mrx_05_key_000012",0.000000,Key C,Key A:minor-general
"mrx_05_key_000013",0.000000,Key C,Key A:minor-general
"mrx_05_key_000014",0.000000,Key C,Key A:minor-general
"mrx_05_key_000015",0.000000,Key C,Key E:minor-general
"mrx_05_key_000016",0.000000,Key C,Key A:minor-general
"mrx_05_key_000017",0.000000,Key C,Key Gb:minor-general
"mrx_05_key_000018",0.000000,Key C,Key A:minor-general
"mrx_05_key_000019",1.000000,Key C,Key C
"mrx_05_key_000020",1.000000,Key C,Key C
"mrx_05_key_000021",1.000000,Key D,Key D
"mrx_05_key_000022",0.000000,Key A,Key Gb:minor-general
"mrx_05_key_000023",1.000000,Key D,Key D
"mrx_05_key_000024",0.000000,Key A,Key Gb:minor-general
"mrx_05_key_000025",0.000000,Key D,Key D:minor-general
"mrx_05_key_000026",0.000000,Key A,Key Gb:minor-general
"mrx_05_key_000027",0.000000,Key D,Key E:minor-general
"mrx_05_key_000028",0.000000,Key A,Key B:minor-general
"mrx_05_key_000029",0.000000,Key D,Key B:minor-general
"mrx_05_key_000030",0.000000,Key A,Key Gb:minor-general
"mrx_05_key_000031",0.000000,Key D,Key B:minor-general
"mrx_05_key_000032",1.000000,Key A,Key A
"mrx_05_key_000033",1.000000,Key D,Key D
"mrx_05_key_000034",1.000000,Key D,Key D
"mrx_05_key_000035",1.000000,Key A,Key A
"mrx_05_key_000036",0.000000,Key F#,Key Bb:minor-general
"mrx_05_key_000037",0.000000,Key A,Key Gb:minor-general
"mrx_05_key_000038",0.000000,Key F#,Key Eb:minor-general
"mrx_05_key_000039",1.000000,Key D,Key D
"mrx_05_key_000040",0.000000,Key F#,Key Gb:minor-general
"mrx_05_key_000041",1.000000,Key D,Key D
"mrx_05_key_000042",0.000000,Key F#,Key Eb:minor-general
"mrx_05_key_000043",0.000000,Key A,Key Gb:minor-general
"mrx_05_key_000044",0.000000,Key F#,Key Ab:minor-general
"mrx_05_key_000045",0.000000,Key A,Key Db:minor-general
"mrx_05_key_000046",0.000000,Key F#,Key Eb:minor-general
"mrx_05_key_000047",1.000000,Key A,Key A
"mrx_05_key_000048",0.000000,Key F#,Key Eb:minor-general
"mrx_05_key_000049",0.000000,Key A,Key Db:minor-general
"mrx_05_key_000050",0.000000,Key F#,Key Db:minor-general
"mrx_05_key_000051",0.000000,Key C,Key E:minor-general
"mrx_05_key_000052",1.000000,Key A#,Key Bb
"mrx_05_key_000053",0.000000,Key C,Key E:minor-general
"mrx_05_key_000054",0.000000,Key F#,Key Eb:minor-general
"mrx_05_key_000055",1.000000,Key C,Key C
"mrx_05_key_000056",0.000000,Key A#,Key C:minor-general
"mrx_05_key_000057",0.000000,Key C,Key G:minor-general
"mrx_05_key_000058",1.000000,Key A#,Key Bb
"mrx_05_key_000059",1.000000,Key C,Key C
"mrx_05_key_000060",0.000000,Key C,Key G
"mrx_05_key_000061",0.000000,Key A#,Key G:minor-general
"mrx_05_key_000062",0.000000,Key C,Key G
"mrx_05_key_000063",0.000000,Key A#,Key G:minor-general
"mrx_05_key_000064",0.000000,Key A#,Key G:minor-general
"mrx_05_key_000065",0.000000,Key A#,Key C:minor-general
"mrx_05_key_000066",1.000000,Key D,Key D
"mrx_05_key_000067",0.000000,Key C,Key E:minor-general
"mrx_05_key_000068",0.000000,Key A#,Key Bb:minor-general
"mrx_05_key_000069",0.000000,Key C,Key G
"mrx_05_key_000070",0.000000,Key A#,Key G:minor-general
"mrx_05_key_000071",0.000000,Key C,Key A:minor-general
"mrx_05_key_000072",0.000000,Key A#,Key C:minor-general
"mrx_05_key_000073",0.000000,Key C,Key A:minor-general
"mrx_05_key_000074",1.000000,Key A#,Key Bb
"mrx_05_key_000075",0.000000,Key D,Key E:minor-general
"mrx_05_key_000076",0.000000,Key A,Key Db
"mrx_05_key_000077",0.000000,Key D,Key B:minor-general
"mrx_05_key_000078",1.000000,Key A,Key A
"mrx_05_key_000079",0.000000,Key D,Key A
"mrx_05_key_000080",0.000000,Key A,Key Gb:minor-general
"mrx_05_key_000081",1.000000,Key D,Key D
"mrx_05_key_000082",0.000000,Key A,Key Gb:minor-general
"mrx_05_key_000083",0.000000,Key D,Key A
"mrx_05_key_000084",1.000000,Key D,Key D
"mrx_05_key_000085",1.000000,Key D,Key D
"mrx_05_key_000086",0.000000,Key F#,Key Eb:minor-general
"mrx_05_key_000087",0.000000,Key D,Key B:minor-general
"mrx_05_key_000088",1.000000,Key A,Key A
"mrx_05_key_000089",1.000000,Key F#,Key Gb
"mrx_05_key_000090",0.000000,Key A,Key Gb:minor-general
"mrx_05_key_000091",0.000000,Key A,Key Gb:minor-general
"mrx_05_key_000092",0.000000,Key A,Key Db:minor-general
"mrx_05_key_000093",1.000000,Key C,Key C
"mrx_05_key_000094",1.000000,Key C,Key C
"mrx_05_key_000095",0.000000,Key C,Key A:minor-general
"mrx_05_key_000096",0.000000,Key C,Key G
"mrx_05_key_000097",0.000000,Key C,Key A:minor-general
"mrx_05_key_000098",0.000000,Key C,Key A:minor-general
"mrx_05_key_000099",0.000000,Key C,Key A:minor-general
"mrx_05_key_000100",1.000000,Key C,Key C
"mrx_05_key_000101",0.000000,Key C,Key A:minor-general
"mrx_05_key_000102",0.000000,Key C,Key D:minor-general
"mrx_05_key_000103",0.000000,Key C,Key A:minor-general
"mrx_05_key_000104",1.000000,Key A,Key A
"mrx_05_key_000105",0.000000,Key A,Key B:minor-general
"mrx_05_key_000106",0.000000,Key A,Key E
"mrx_05_key_000107",1.000000,Key A,Key A
"mrx_05_key_000108",0.000000,Key A,Key Db:minor-general
