Mirex
File,Score,Ref key,Test key
"mcgill-billboard_1002-The_J_Geils_Band-Freeze-Frame",0.000000,Key C,Key F:minor-general
"mcgill-billboard_1003-Player-Baby_Come_Back",0.000000,Key Eb,Key A#:minor-general
"mcgill-billboard_1006-Roy_Drusky-Three_Hearts_In_A_Tangle",1.000000,Key Db,Key C#
"mcgill-billboard_1007-Righteous_Brothers-Unchained_Melody",0.500000,Key C,Key G
"mcgill-billboard_1009-Dr_Hook-The_Millionaire",0.200000,Key Eb,Key D#:minor-general
"mcgill-billboard_1011-Cyndi_Lauper-I_Drove_All_Night",0.200000,Key Ab,Key G#:minor-general
"mcgill-billboard_1013-Debarge-Time_Will_Reveal",0.200000,Key C,Key C:minor-general
"mcgill-billboard_1014-Wild_Cherry-Play_That_Funky_Music",0.200000,Key E,Key E:minor-general
"mcgill-billboard_1018-Wilson_Pickett-In_The_Midnight_Hour",0.200000,Key E,Key E:minor-general
"mcgill-billboard_1019-Prince_(With_Sheena_Easton)-The_Arms_Of_Orion",0.000000,Key D,Key A:minor-general
"mcgill-billboard_1020-The_Dramatics-Hey_You_Get_Off_My_Mountain",1.000000,Key D,Key D
"mcgill-billboard_1021-Wilson_Pickett-Soul_Dance_Number_Three",0.200000,Key E,Key E:minor-general
"mcgill-billboard_1027-Greg_Kihn-Lucky",1.000000,Key A:minor-general,Key A:minor-general
"mcgill-billboard_1031-Tina_Turner-We_Dont_Need_Another_Hero_(Thunderdome)",1.000000,Key B,Key B
"mcgill-billboard_1033-The_Byrds-Goin_Back",0.200000,Key E,Key E:minor-general
"mcgill-billboard_1034-Grateful_Dead-Sugar_Magnolia",0.200000,Key A,Key A:minor-general
"mcgill-billboard_1039-Milli_Vanilli-Girl_I_m_Gonna_Miss_You",0.000000,Key A,Key F:minor-general
"mcgill-billboard_1040-Eric_Clapton-Lay_Down_Sally",0.200000,Key A,Key A:minor-general
"mcgill-billboard_1041-Johnny_Tillotson-It_Keeps_Right_On_A-Hurtin",1.000000,Key A,Key A
"mcgill-billboard_1042-Aretha_Franklin-Oh_Me_Oh_My_(Im_A_Fool_For_You_Baby)",0.000000,Key Bb,Key F:minor-general
"mcgill-billboard_1043-Duran_Duran-Is_There_Something_I_Should_Know",0.200000,Key D,Key D:minor-general
"mcgill-billboard_1045-Jefferson_Starship-Count_On_Me",0.000000,Key A,Key E:minor-general
"mcgill-billboard_1046-Eddie_Holland-Jamie",0.200000,Key Eb,Key D#:minor-general
"mcgill-billboard_1048-BJ_Thomas-Hooked_On_A_Feeling",0.000000,Key A,Key E:minor-general
"mcgill-billboard_1051-Billy_Squier-My_Kinda_Lover",0.200000,Key C,Key C:minor-general
"mcgill-billboard_1052-Pink_Floyd-Another_Brick_In_The_Wall_(Part_II)",1.000000,Key D:minor-general,Key D:minor-general
"mcgill-billboard_1054-Marty_Robbins-I_Walk_Alone",0.000000,Key C,Key F:minor-general
"mcgill-billboard_1055-Elvis_Presley-My_Wish_Came_True",1.000000,Key D,Key D
"mcgill-billboard_1058-Bill_Withers-Aint_No_Sunshine",1.000000,Key A:minor-general,Key A:minor-general
"mcgill-billboard_1061-Eagles-Best_Of_My_Love",1.000000,Key C,Key C
"mcgill-billboard_1062-The_Fabulous_Thunderbirds-Tuff_Enuff",0.500000,Key B,Key E
"mcgill-billboard_1063-Dion-This_Little_Girl",0.000000,Key Bb,Key D#:minor-general
"mcgill-billboard_1066-Bruce_Springsteen-My_Hometown",0.000000,Key A,Key E:minor-general
"mcgill-billboard_1069-The_J_Geils_Band-Must_Of_Got_Lost",0.000000,Key C,Key F:minor-general
"mcgill-billboard_1070-The_Babys-Every_Time_I_Think_Of_You",0.000000,Key G,Key C:minor-general
"mcgill-billboard_1071-Bob_Seger-Rock_And_Roll_Never_Forgets",0.200000,Key E,Key E:minor-general
"mcgill-billboard_1072-Fats_Domino-Be_My_Guest",0.200000,Key Bb,Key A#:minor-general
"mcgill-billboard_1076-Todd_Rundgren-Can_We_Still_Be_Friends",1.000000,Key C#:minor-general,Key C#:minor-general
"mcgill-billboard_1078-Switch-Therell_Never_Be",0.300000,Key G,Key E:minor-general
"mcgill-billboard_1082-Alabama-Take_Me_Down",0.200000,Key C,Key C:minor-general
"mcgill-billboard_1084-Cyndi_Lauper-All_Through_The_Night",0.300000,Key Ab,Key F:minor-general
"mcgill-billboard_1087-Joan_Baez-There_But_For_Fortune",0.000000,Key Bb,Key D#:minor-general
"mcgill-billboard_1089-Heart-Who_Will_You_Run_To",0.500000,Key A,Key D
"mcgill-billboard_1094-The_Crystals-Theres_No_Other_(Like_My_Baby)",0.000000,Key D,Key D#:minor-general
"mcgill-billboard_1096-The_Meters-Look-Ka_Py_Py",0.200000,Key G,Key G:minor-general
"mcgill-billboard_1098-Tina_Turner-Private_Dancer",0.300000,Key G,Key E:minor-general
"mcgill-billboard_1101-Dion-(I_was)_Born_To_Cry",1.000000,Key A:minor-general,Key A:minor-general
"mcgill-billboard_1103-Chubby_Checker-The_Twist",0.200000,Key E,Key E:minor-general
"mcgill-billboard_1104-Tina_Turner-What_You_Get_Is_What_You_See",0.200000,Key F,Key F:minor-general
"mcgill-billboard_1106-Young_MC-Bust_A_Move",0.500000,Key E:minor-general,Key A:minor-general
"mcgill-billboard_1107-The_Beatles-Ob-La-Di_Ob-La-Da",0.000000,Key Bb,Key D:minor-general
"mcgill-billboard_1109-Rob_Base-It_Takes_Two",0.000000,Key G,Key G#:minor-general
"mcgill-billboard_1110-Chuck_Berry-Reelin_&_Rockin",0.200000,Key G,Key G:minor-general
"mcgill-billboard_1111-Chris_Kenner-Land_Of_1000_Dances",0.200000,Key Eb,Key D#:minor-general
"mcgill-billboard_1112-Stephanie_Mills-Never_Knew_Love_Like_This_Before",0.000000,Key B,Key C#:minor-general
"mcgill-billboard_1113-Charlie_Rich-Lonely_Weekends",1.000000,Key F,Key F
"mcgill-billboard_1114-Glen_Campbell-Wichita_Lineman",1.000000,Key F,Key F
"mcgill-billboard_1116-The_Everly_Brothers-Ebony_Eyes",1.000000,Key E,Key E
"mcgill-billboard_1118-Barbra_Streisand-Funny_Girl",0.200000,Key Eb,Key D#:minor-general
"mcgill-billboard_1119-Los_Lobos-Will_The_Wolf_Survive",1.000000,Key G,Key G
"mcgill-billboard_1120-Marty_Robbins-Big_Iron",0.300000,Key E,Key C#:minor-general
"mcgill-billboard_1121-Simon_&_Garfunkel-A_Hazy_Shade_Of_Winter",1.000000,Key D:minor-general,Key D:minor-general
"mcgill-billboard_1124-David_CrosbyGraham_Nash-Carry_Me",0.200000,Key E,Key E:minor-general
"mcgill-billboard_1125-Roy_Head-Treat_Her_Right",0.000000,Key G,Key F:minor-general
"mcgill-billboard_1126-Genesis-Invisible_Touch",0.200000,Key F,Key F:minor-general
"mcgill-billboard_1127-The_5th_Dimension-One_Less_Bell_To_Answer",1.000000,Key D,Key D
"mcgill-billboard_1134-The_Miracles-Mighty_Good_Lovin",0.200000,Key Eb,Key D#:minor-general
"mcgill-billboard_1135-Kris_Kristofferson-Loving_Her_Was_Easier_(Than_Anything_Ill_Ever_Do_Again)",0.000000,Key C,Key E:minor-general
"mcgill-billboard_1136-The_Youngbloods-Get_Together",0.500000,Key A,Key D
"mcgill-billboard_1138-Mary_MacGregor-Torn_Between_Two_Lovers",1.000000,Key Bb,Key A#
"mcgill-billboard_1139-Waylon_Jennings-Are_You_Sure_Hank_Done_It_This_Way",0.200000,Key B,Key B:minor-general
"mcgill-billboard_1140-Madonna-Oh_Father",0.200000,Key F,Key F:minor-general
"mcgill-billboard_1142-The_Beatles-A_Hard_Days_Night",0.500000,Key G,Key D
"mcgill-billboard_1143-Eddie_Rabbitt-I_Love_A_Rainy_Night",0.000000,Key C,Key E:minor-general
"mcgill-billboard_1146-Dion-Abraham_Martin_And_John",0.200000,Key E,Key E:minor-general
"mcgill-billboard_1147-Sonny_&_Cher-A_Cowboys_Work_Is_Never_Done",0.500000,Key C:minor-general,Key G:minor-general
"mcgill-billboard_1148-Duran_Duran-I_Dont_Want_Your_Love",1.000000,Key D:minor-general,Key D:minor-general
"mcgill-billboard_1149-Count_Basie-Going_To_Chicago_Blues",0.200000,Key Eb,Key D#:minor-general
"mcgill-billboard_1150-Stray_Cats-Rock_This_Town",0.200000,Key D,Key D:minor-general
"mcgill-billboard_1151-The_Righteous_Brothers-(Youre_My)_Soul_And_Inspiration",0.500000,Key A,Key D
"mcgill-billboard_1153-Simon_&_Garfunkel-The_Sounds_Of_Silence",0.000000,Key Cb,Key D#:minor-general
"mcgill-billboard_1154-Buck_Owens-Think_Of_Me",1.000000,Key B,Key B
"mcgill-billboard_1155-Jackson_Browne-Running_On_Empty",0.500000,Key A,Key D
"mcgill-billboard_1161-Cliff_Richard-Daddys_Home",0.200000,Key E,Key E:minor-general
"mcgill-billboard_1163-Paul_McCartney-My_Love",0.000000,Key F,Key A#:minor-general
"mcgill-billboard_1164-Double_Exposure-Ten_Percent",0.000000,Key C,Key D#:minor-general
"mcgill-billboard_1167-Billy_Idol-Rebel_Yell",1.000000,Key B:minor-general,Key B:minor-general
"mcgill-billboard_1168-Bobbie_Gentry-Ode_To_Billie_Joe",0.200000,Key D,Key D:minor-general
"mcgill-billboard_1169-Jesus_Jones-Right_Here_Right_Now",0.200000,Key D,Key D:minor-general
"mcgill-billboard_1170-Blue_Cheer-Summertime_Blues",0.000000,Key C:minor-general,Key F
"mcgill-billboard_1171-Bob_Seger-Night_Moves",0.200000,Key Ab,Key G#:minor-general
"mcgill-billboard_1173-Madonna-Live_To_Tell",1.000000,Key D:minor-general,Key D:minor-general
"mcgill-billboard_1174-Little_River_Band-Happy_Anniversary",1.000000,Key E:minor-general,Key E:minor-general
"mcgill-billboard_1177-Bob_Seger-Against_The_Wind",0.200000,Key G,Key G:minor-general
"mcgill-billboard_1178-The_Jacksons-I_Want_You_Back",1.000000,Key Ab,Key G#
"mcgill-billboard_1180-Emerson_Lake_&_Palmer-Lucky_Man",0.200000,Key G,Key G:minor-general
"mcgill-billboard_1181-Paul_Revere_&_The_Raiders-Kicks",1.000000,Key F:minor-general,Key F:minor-general
"mcgill-billboard_1190-Dr_Hook-Only_Sixteen",1.000000,Key F,Key F
"mcgill-billboard_1193-The_Beatles-Shes_A_Woman",0.200000,Key Ab,Key G#:minor-general
"mcgill-billboard_1194-Tom_T_Hall-The_Year_That_Clayton_Delaney_Died",1.000000,Key Db,Key C#
"mcgill-billboard_1197-Stray_Cats-I_Wont_Stand_In_Your_Way",0.200000,Key Eb,Key D#:minor-general
"mcgill-billboard_1200-The_Doobie_Brothers-Echoes_Of_Love",0.200000,Key A,Key A:minor-general
"mcgill-billboard_1201-Commodores-Three_Times_A_Lady",0.300000,Key Ab,Key F:minor-general
"mcgill-billboard_1203-Blondie-Island_Of_Lost_Souls",1.000000,Key D,Key D
"mcgill-billboard_1208-Bob_Seger-Even_Now",0.200000,Key E,Key E:minor-general
"mcgill-billboard_1210-Dion-Lovers_Who_Wander",0.300000,Key C,Key A:minor-general
"mcgill-billboard_1212-Sonny_&_Cher-Baby_Dont_Go",1.000000,Key C,Key C
"mcgill-billboard_1213-The_Beatles-I_Dont_Want_To_Spoil_The_Party",0.500000,Key G,Key D
"mcgill-billboard_1220-Rare_Earth-Get_Ready",0.000000,Key D,Key C
"mcgill-billboard_1221-Wilson_Pickett-Im_In_Love",0.200000,Key E,Key E:minor-general
"mcgill-billboard_1223-Culture_Club-Ill_Tumble_4_Ya",0.300000,Key C,Key A:minor-general
"mcgill-billboard_1225-Buck_Owens-Ive_Got_A_Tiger_By_The_Tail",1.000000,Key E,Key E
"mcgill-billboard_1228-Bay_City_Rollers-Saturday_Night",0.200000,Key G,Key G:minor-general
