Mirex
File,Score,Ref key,Test key
"mrx_05_key_000000",1.000000,Key D,Key D
"mrx_05_key_000001",1.000000,Key D,Key D
"mrx_05_key_000002",0.000000,Key D,Key E:minor-general
"mrx_05_key_000003",1.000000,Key A,Key A
"mrx_05_key_000004",0.000000,Key A,Key B:minor-general
"mrx_05_key_000005",0.500000,Key A,Key D
"mrx_05_key_000006",1.000000,Key A,Key A
"mrx_05_key_000007",1.000000,Key A,Key A
"mrx_05_key_000008",0.300000,Key C,Key A:minor-general
"mrx_05_key_000009",1.000000,Key A#,Key A#
"mrx_05_key_000010",1.000000,Key C,Key C
"mrx_05_key_000011",0.500000,Key A#,Key D#
"mrx_05_key_000012",0.300000,Key C,Key A:minor-general
"mrx_05_key_000013",0.300000,Key C,Key A:minor-general
"mrx_05_key_000014",1.000000,Key C,Key C
"mrx_05_key_000015",1.000000,Key C,Key C
"mrx_05_key_000016",1.000000,Key C,Key C
"mrx_05_key_000017",0.300000,Key C,Key A:minor-general
"mrx_05_key_000018",1.000000,Key C,Key C
"mrx_05_key_000019",1.000000,Key C,Key C
"mrx_05_key_000020",1.000000,Key C,Key C
"mrx_05_key_000021",1.000000,Key D,Key D
"mrx_05_key_000022",1.000000,Key A,Key A
"mrx_05_key_000023",1.000000,Key D,Key D
"mrx_05_key_000024",1.000000,Key A,Key A
"mrx_05_key_000025",0.200000,Key D,Key D:minor-general
"mrx_05_key_000026",0.300000,Key A,Key F#:minor-general
"mrx_05_key_000027",0.000000,Key D,Key E:minor-general
"mrx_05_key_000028",1.000000,Key A,Key A
"mrx_05_key_000029",1.000000,Key D,Key D
"mrx_05_key_000030",1.000000,Key A,Key A
"mrx_05_key_000031",1.000000,Key D,Key D
"mrx_05_key_000032",1.000000,Key A,Key A
"mrx_05_key_000033",1.000000,Key D,Key D
"mrx_05_key_000034",1.000000,Key D,Key D
"mrx_05_key_000035",1.000000,Key A,Key A
"mrx_05_key_000036",0.300000,Key F#,Key D#:minor-general
"mrx_05_key_000037",1.000000,Key A,Key A
"mrx_05_key_000038",1.000000,Key F#,Key F#
"mrx_05_key_000039",1.000000,Key D,Key D
"mrx_05_key_000040",0.200000,Key F#,Key F#:minor-general
"mrx_05_key_000041",1.000000,Key D,Key D
"mrx_05_key_000042",1.000000,Key F#,Key F#
"mrx_05_key_000043",0.300000,Key A,Key F#:minor-general
"mrx_05_key_000044",1.000000,Key F#,Key F#
"mrx_05_key_000045",0.000000,Key A,Key B:minor-general
"mrx_05_key_000046",1.000000,Key F#,Key F#
"mrx_05_key_000047",0.000000,Key A,Key E:minor-general
"mrx_05_key_000048",1.000000,Key F#,Key F#
"mrx_05_key_000049",1.000000,Key A,Key A
"mrx_05_key_000050",0.000000,Key F#,Key C#:minor-general
